BEGINDATE;CLOSED;CLOSEDATE;COMPANY_ID;ID;OPPORTUNITY;PROBABILITY
2016-01-20T03:00:00+03:00;Y;2016-11-29T03:00:00+03:00;775;6628;86275.00;50
2016-03-21T03:00:00+03:00;Y;2018-02-13T03:00:00+03:00;775;6956;10378.00;0
2017-07-17T03:00:00+03:00;Y;2018-02-13T03:00:00+03:00;775;10902;16100.00;0
2017-07-17T03:00:00+03:00;Y;2018-02-13T03:00:00+03:00;775;10904;9750.00;0
2013-10-08T03:00:00+04:00;Y;2013-10-15T03:00:00+04:00;77;33;9025.00;100
2015-01-16T03:00:00+03:00;Y;2015-12-22T03:00:00+03:00;77;1971;4000.00;0
2014-11-17T03:00:00+03:00;Y;2014-11-24T03:00:00+03:00;787;1711;71200.00;0
2015-01-21T03:00:00+03:00;Y;2018-02-13T03:00:00+03:00;787;1995;236000.00;0
2014-03-18T03:00:00+04:00;Y;2014-03-25T03:00:00+04:00;783;617;19665.00;50
2014-04-22T03:00:00+04:00;Y;2014-04-29T03:00:00+04:00;783;749;30000.00;50
2015-05-12T03:00:00+03:00;Y;2015-05-18T03:00:00+03:00;783;2723;0.00;0
2016-03-23T03:00:00+03:00;Y;2018-02-13T03:00:00+03:00;783;6964;1188.00;0
2014-03-24T03:00:00+04:00;Y;2014-03-31T03:00:00+04:00;785;629;10500.00;0
2014-03-27T03:00:00+04:00;Y;2014-04-03T03:00:00+04:00;785;639;12600.00;0
2014-03-04T03:00:00+04:00;Y;2018-02-13T03:00:00+03:00;779;577;16800.00;0
2014-08-03T03:00:00+04:00;Y;2014-08-03T03:00:00+04:00;779;1187;50000.00;0
2014-08-03T03:00:00+04:00;Y;2015-06-19T03:00:00+03:00;779;1189;0.00;0
2014-08-05T03:00:00+04:00;Y;2014-08-12T03:00:00+04:00;779;1199;0.00;50
2014-04-13T03:00:00+04:00;Y;2014-04-20T03:00:00+04:00;793;679;4900.00;90
2014-04-16T03:00:00+04:00;Y;2014-04-23T03:00:00+04:00;797;691;10000.00;0
2015-02-09T03:00:00+03:00;Y;2015-04-28T03:00:00+03:00;797;2143;1.00;0
2014-04-22T03:00:00+04:00;Y;2014-04-29T03:00:00+04:00;799;751;10500.00;100
2014-06-16T03:00:00+04:00;Y;2014-06-23T03:00:00+04:00;799;985;14550.00;50
2015-03-11T03:00:00+03:00;Y;2015-03-18T03:00:00+03:00;799;2277;11600.00;0
2014-04-23T03:00:00+04:00;Y;2014-04-30T03:00:00+04:00;801;753;4600.00;50
2014-04-27T03:00:00+04:00;Y;2014-05-04T03:00:00+04:00;801;771;15000.00;50
2014-03-23T03:00:00+04:00;Y;2015-04-24T03:00:00+03:00;805;625;53900.00;0
2014-05-07T03:00:00+04:00;Y;2014-05-14T03:00:00+04:00;813;815;955493.00;0
