DATE_BILL;DATE_PAYED;DATE_PAY_BEFORE;PAYED;PRICE;STATUS_ID;UF_COMPANY_ID
2015-04-23T03:00:00+03:00;2015-07-03T10:36:56+03:00;;Y;6950.0000;P;29661
2015-04-23T03:00:00+03:00;;;N;11600.0000;D;29661
2015-04-23T03:00:00+03:00;;;N;4900.0000;D;29661
2015-04-29T03:00:00+03:00;2015-05-06T13:24:59+03:00;;Y;10000.0000;P;775
2015-03-27T03:00:00+03:00;2015-06-16T15:08:23+03:00;;Y;19500.0000;P;823
2015-04-29T03:00:00+03:00;2015-05-06T13:15:33+03:00;;Y;30000.0000;P;29671
2015-04-29T03:00:00+03:00;2015-05-21T13:03:51+03:00;;Y;20070.0000;P;29671
2015-05-05T03:00:00+03:00;2015-06-06T17:28:44+03:00;;Y;10000.0000;P;775
2015-05-05T03:00:00+03:00;2015-05-14T13:25:21+03:00;;Y;10500.0000;P;29669
2015-05-05T03:00:00+03:00;2015-08-13T17:00:07+03:00;;Y;2975.0000;P;119
2015-05-06T03:00:00+03:00;2015-06-09T10:32:48+03:00;;Y;3300.0000;P;29677
2015-05-07T03:00:00+03:00;2015-05-11T15:44:52+03:00;;Y;3300.0000;P;771
2015-05-13T03:00:00+03:00;2015-05-14T13:23:25+03:00;;Y;37700.0000;P;29705
2015-03-24T03:00:00+03:00;2015-08-05T08:12:17+03:00;;Y;25000.0000;P;13
2015-05-15T03:00:00+03:00;2015-09-08T12:39:23+03:00;;Y;3900.0000;P;823
2015-05-21T03:00:00+03:00;2015-06-11T09:27:22+03:00;;Y;2175.0000;P;29733
2015-05-27T03:00:00+03:00;2015-06-19T12:09:19+03:00;;Y;1078.0000;P;195
2015-06-01T03:00:00+03:00;2015-09-18T14:20:00+03:00;2015-09-30T03:00:00+03:00;Y;11700.0000;P;27647
2015-06-01T03:00:00+03:00;2015-06-06T17:26:07+03:00;;Y;3300.0000;P;771
2015-06-01T03:00:00+03:00;2015-06-06T17:25:10+03:00;;Y;4275.0000;P;771
2014-09-07T03:00:00+04:00;2015-11-24T12:35:01+03:00;;Y;3150.0000;P;13
2015-06-01T03:00:00+03:00;2015-06-06T16:47:54+03:00;;Y;4200.0000;P;13
2015-06-01T03:00:00+03:00;2015-06-06T16:50:28+03:00;;Y;7875.0000;P;13
2015-06-01T03:00:00+03:00;2015-08-05T08:16:10+03:00;;Y;7875.0000;P;13
2015-06-01T03:00:00+03:00;2015-06-06T16:52:02+03:00;;Y;2900.0000;P;29757
2015-06-02T03:00:00+03:00;2015-06-10T09:12:47+03:00;;Y;10500.0000;P;29669
2015-06-02T03:00:00+03:00;2015-06-02T18:40:37+03:00;;Y;6600.0000;P;29675
2015-06-02T03:00:00+03:00;2015-06-02T18:46:11+03:00;;Y;3300.0000;P;29675
2015-06-06T03:00:00+03:00;2015-07-16T12:31:01+03:00;;Y;14287.0000;P;775
2015-06-08T03:00:00+03:00;2015-06-09T10:00:56+03:00;;Y;50000.0000;P;29707
2015-06-08T03:00:00+03:00;2015-06-09T09:57:18+03:00;;Y;13300.0000;P;29707
2015-06-08T03:00:00+03:00;;;N;31125.0000;D;29707
2015-06-10T03:00:00+03:00;2015-06-16T15:09:15+03:00;;Y;11700.0000;P;29627
2015-06-15T03:00:00+03:00;2015-06-17T12:18:28+03:00;;Y;20300.0000;P;29637
2015-06-15T03:00:00+03:00;2015-06-17T12:21:37+03:00;;Y;14220.0000;P;29693
2015-06-17T03:00:00+03:00;2015-06-19T12:07:58+03:00;;Y;5400.0000;P;195
2015-06-19T03:00:00+03:00;;;N;14718.0000;D;813
2015-06-29T03:00:00+03:00;2015-06-30T09:05:16+03:00;;Y;3300.0000;P;29677
2015-06-29T03:00:00+03:00;2015-07-23T07:57:23+03:00;;Y;3300.0000;P;29675
2015-06-29T03:00:00+03:00;2015-07-06T07:57:48+03:00;;Y;1836.0000;P;29627
2015-06-30T03:00:00+03:00;2015-07-09T07:17:37+03:00;;Y;10500.0000;P;29669
2015-07-01T03:00:00+03:00;2015-07-03T10:44:40+03:00;;Y;3300.0000;P;771
2015-07-01T03:00:00+03:00;2015-08-07T09:05:57+03:00;;Y;7400.0000;P;29767
2015-07-01T03:00:00+03:00;2015-08-07T09:06:09+03:00;;Y;23000.0000;P;29767
2015-07-03T03:00:00+03:00;2015-07-09T07:31:54+03:00;;Y;10000.0000;P;29661
2015-07-03T03:00:00+03:00;2015-07-24T09:56:57+03:00;;Y;1404.0000;P;29691
2015-07-07T03:00:00+03:00;2015-08-10T07:13:16+03:00;;Y;10500.0000;P;13
2015-07-08T03:00:00+03:00;2015-07-21T12:09:30+03:00;;Y;5800.0000;P;29705
2015-07-09T03:00:00+03:00;;;N;35000.0000;D;825
2015-07-09T03:00:00+03:00;;;N;15000.0000;D;825
2015-07-09T03:00:00+03:00;2015-07-09T14:29:49+03:00;;Y;1200.0000;P;29733
2015-07-09T03:00:00+03:00;2015-07-31T10:52:50+03:00;;Y;20000.0000;P;29661
2015-07-10T03:00:00+03:00;2015-10-23T10:36:02+03:00;;Y;46886.0000;P;29707
2015-07-10T03:00:00+03:00;2015-08-05T08:07:43+03:00;;Y;1078.0000;P;825
2015-07-15T03:00:00+03:00;2015-07-15T08:22:39+03:00;;Y;6300.0000;P;29784
2015-06-06T03:00:00+03:00;2015-08-13T09:42:12+03:00;;Y;7038.0000;P;775
2015-07-16T03:00:00+03:00;;;N;7800.0000;D;823
2015-07-17T03:00:00+03:00;;;N;26250.0000;D;13
2015-07-17T03:00:00+03:00;;;N;26250.0000;D;13
2015-07-17T03:00:00+03:00;;;N;3278.0000;D;29775
2015-07-20T03:00:00+03:00;2015-08-05T08:18:42+03:00;;Y;13050.0000;P;13
2015-07-20T03:00:00+03:00;2015-08-05T08:14:06+03:00;;Y;2100.0000;P;13
2015-07-21T03:00:00+03:00;2015-11-01T15:54:32+03:00;;Y;15950.0000;P;29779
2015-07-21T03:00:00+03:00;2015-07-23T08:05:04+03:00;;Y;24650.0000;P;29637
2015-07-22T03:00:00+03:00;2015-08-07T12:45:21+03:00;;Y;2400.0000;P;195
2015-07-23T03:00:00+03:00;2015-08-05T08:24:53+03:00;;Y;7875.0000;P;13
2015-07-23T03:00:00+03:00;2015-09-03T08:38:27+03:00;;Y;8400.0000;P;13
2015-07-20T03:00:00+03:00;2015-08-10T07:13:38+03:00;;Y;13050.0000;P;13
2015-07-24T03:00:00+03:00;2015-08-05T08:20:30+03:00;;Y;106300.0000;P;13
2015-07-24T03:00:00+03:00;2015-10-27T16:44:24+03:00;;Y;106300.0000;P;13
2015-07-31T03:00:00+03:00;2015-08-12T09:44:30+03:00;;Y;3300.0000;P;771
2015-07-31T03:00:00+03:00;2015-08-28T15:29:34+03:00;;Y;13650.0000;P;29669
2015-07-31T03:00:00+03:00;2015-09-16T10:06:28+03:00;;Y;3300.0000;P;29675
2015-08-03T03:00:00+03:00;2015-08-06T11:29:33+03:00;2015-08-06T03:00:00+03:00;Y;3900.0000;P;29677
2015-08-05T03:00:00+03:00;2015-09-09T08:22:19+03:00;;Y;12700.0000;P;29705
2015-08-10T03:00:00+03:00;2015-08-12T10:18:49+03:00;;Y;6825.0000;P;13
2015-08-10T03:00:00+03:00;2015-11-12T11:04:40+03:00;;Y;6825.0000;P;13
2015-08-12T03:00:00+03:00;2015-08-13T10:07:26+03:00;;Y;1500.0000;P;29767
2015-08-13T03:00:00+03:00;2015-09-04T09:00:06+03:00;2015-08-17T03:00:00+03:00;Y;2975.0000;P;119
2015-08-14T03:00:00+03:00;2015-08-28T14:28:40+03:00;;Y;600.0000;P;29677
2015-08-14T03:00:00+03:00;2015-09-03T13:48:22+03:00;;Y;53222.0000;P;29707
2015-08-19T03:00:00+03:00;2015-08-24T07:43:10+03:00;2015-08-21T03:00:00+03:00;Y;7238.0000;P;29784
2015-08-20T03:00:00+03:00;2015-08-20T09:20:10+03:00;;Y;2000.0000;P;29784
2015-08-20T03:00:00+03:00;2015-08-20T09:50:21+03:00;;Y;5799.0000;P;775
2015-08-20T03:00:00+03:00;2015-09-10T16:19:43+03:00;;Y;2901.0000;P;775
2015-08-25T03:00:00+03:00;2015-08-27T14:44:21+03:00;;Y;14175.0000;P;13
2015-08-25T03:00:00+03:00;2015-10-19T08:47:38+03:00;2015-10-13T03:00:00+03:00;Y;14175.0000;P;13
2015-08-25T03:00:00+03:00;2015-09-16T13:41:10+03:00;2015-09-01T03:00:00+03:00;Y;3900.0000;P;823
2015-08-25T03:00:00+03:00;2015-09-03T13:46:22+03:00;2015-09-01T03:00:00+03:00;Y;43704.0000;P;29707
